"station_id","time","type","value"
"S109","2019-09-09T06:22:00+08:00","DBT 1M F",27.1
"S117","2019-09-09T06:22:00+08:00","DBT 1M F",27.5
"S50","2019-09-09T06:22:00+08:00","DBT 1M F",26.9
"S107","2019-09-09T06:22:00+08:00","DBT 1M F",27.9
"S43","2019-09-09T06:22:00+08:00","DBT 1M F",27.8
"S108","2019-09-09T06:22:00+08:00","DBT 1M F",27.6
"S44","2019-09-09T06:22:00+08:00","DBT 1M F",27.1
"S121","2019-09-09T06:22:00+08:00","DBT 1M F",26.7
"S106","2019-09-09T06:22:00+08:00","DBT 1M F",26.7
"S111","2019-09-09T06:22:00+08:00","DBT 1M F",26.8
"S122","2019-09-09T06:22:00+08:00","DBT 1M F",26.3
"S60","2019-09-09T06:22:00+08:00","DBT 1M F",27.2
"S115","2019-09-09T06:22:00+08:00","DBT 1M F",27.9
"S24","2019-09-09T06:22:00+08:00","DBT 1M F",27.4
"S116","2019-09-09T06:22:00+08:00","DBT 1M F",27.9
"S104","2019-09-09T06:22:00+08:00","DBT 1M F",27.2
"S100","2019-09-09T06:22:00+08:00","DBT 1M F",26.8
"S109","2019-09-09T08:22:00+08:00","DBT 1M F",28
"S117","2019-09-09T08:22:00+08:00","DBT 1M F",28.2
"S50","2019-09-09T08:22:00+08:00","DBT 1M F",27.8
"S107","2019-09-09T08:22:00+08:00","DBT 1M F",28.2
"S43","2019-09-09T08:22:00+08:00","DBT 1M F",28.5
"S44","2019-09-09T08:22:00+08:00","DBT 1M F",27.8
"S121","2019-09-09T08:22:00+08:00","DBT 1M F",28.2
"S106","2019-09-09T08:22:00+08:00","DBT 1M F",28
"S111","2019-09-09T08:22:00+08:00","DBT 1M F",27.3
"S122","2019-09-09T08:22:00+08:00","DBT 1M F",27.8
"S60","2019-09-09T08:22:00+08:00","DBT 1M F",28
"S115","2019-09-09T08:22:00+08:00","DBT 1M F",28.3
"S24","2019-09-09T08:22:00+08:00","DBT 1M F",28.6
"S116","2019-09-09T08:22:00+08:00","DBT 1M F",28.4
"S104","2019-09-09T08:22:00+08:00","DBT 1M F",27.9
"S100","2019-09-09T08:22:00+08:00","DBT 1M F",28.3
"S109","2019-09-09T04:22:00+08:00","DBT 1M F",27.3
"S117","2019-09-09T04:22:00+08:00","DBT 1M F",27.6
"S50","2019-09-09T04:22:00+08:00","DBT 1M F",27
"S107","2019-09-09T04:22:00+08:00","DBT 1M F",27.9
"S43","2019-09-09T04:22:00+08:00","DBT 1M F",27.9
"S108","2019-09-09T04:22:00+08:00","DBT 1M F",27.6
"S44","2019-09-09T04:22:00+08:00","DBT 1M F",27.3
"S121","2019-09-09T04:22:00+08:00","DBT 1M F",26.8
"S106","2019-09-09T04:22:00+08:00","DBT 1M F",26.5
"S111","2019-09-09T04:22:00+08:00","DBT 1M F",26.8
"S122","2019-09-09T04:22:00+08:00","DBT 1M F",26.9
"S60","2019-09-09T04:22:00+08:00","DBT 1M F",27.3
"S115","2019-09-09T04:22:00+08:00","DBT 1M F",28.1
"S24","2019-09-09T04:22:00+08:00","DBT 1M F",27.5
"S116","2019-09-09T04:22:00+08:00","DBT 1M F",27.9
"S104","2019-09-09T04:22:00+08:00","DBT 1M F",27.4
"S100","2019-09-09T04:22:00+08:00","DBT 1M F",27
"S109","2019-09-09T16:22:00+08:00","DBT 1M F",32.2
"S117","2019-09-09T16:22:00+08:00","DBT 1M F",31.5
"S50","2019-09-09T16:22:00+08:00","DBT 1M F",31.6
"S107","2019-09-09T16:22:00+08:00","DBT 1M F",30.4
"S43","2019-09-09T16:22:00+08:00","DBT 1M F",32.6
"S108","2019-09-09T16:22:00+08:00","DBT 1M F",32.8
"S44","2019-09-09T16:22:00+08:00","DBT 1M F",31.7
"S121","2019-09-09T16:22:00+08:00","DBT 1M F",32.4
"S106","2019-09-09T16:22:00+08:00","DBT 1M F",31.2
"S111","2019-09-09T16:22:00+08:00","DBT 1M F",31.9
"S122","2019-09-09T16:22:00+08:00","DBT 1M F",31.9
"S60","2019-09-09T16:22:00+08:00","DBT 1M F",32.4
"S115","2019-09-09T16:22:00+08:00","DBT 1M F",31.8
"S24","2019-09-09T16:22:00+08:00","DBT 1M F",32.3
"S116","2019-09-09T16:22:00+08:00","DBT 1M F",31.4
"S104","2019-09-09T16:22:00+08:00","DBT 1M F",32.7
"S100","2019-09-09T16:22:00+08:00","DBT 1M F",33.6
"S109","2019-09-09T14:22:00+08:00","DBT 1M F",32.4
"S117","2019-09-09T14:22:00+08:00","DBT 1M F",30.5
"S50","2019-09-09T14:22:00+08:00","DBT 1M F",31.2
"S107","2019-09-09T14:22:00+08:00","DBT 1M F",30.5
"S43","2019-09-09T14:22:00+08:00","DBT 1M F",32.5
"S108","2019-09-09T14:22:00+08:00","DBT 1M F",32.5
"S44","2019-09-09T14:22:00+08:00","DBT 1M F",31
"S121","2019-09-09T14:22:00+08:00","DBT 1M F",32
"S106","2019-09-09T14:22:00+08:00","DBT 1M F",32.5
"S111","2019-09-09T14:22:00+08:00","DBT 1M F",30.5
"S122","2019-09-09T14:22:00+08:00","DBT 1M F",32.4
"S60","2019-09-09T14:22:00+08:00","DBT 1M F",30.7
"S115","2019-09-09T14:22:00+08:00","DBT 1M F",31.8
"S24","2019-09-09T14:22:00+08:00","DBT 1M F",32.1
"S116","2019-09-09T14:22:00+08:00","DBT 1M F",30.7
"S104","2019-09-09T14:22:00+08:00","DBT 1M F",32
"S100","2019-09-09T14:22:00+08:00","DBT 1M F",32.6
"S109","2019-09-08T23:22:00+08:00","DBT 1M F",28.4
"S117","2019-09-08T23:22:00+08:00","DBT 1M F",28.3
"S50","2019-09-08T23:22:00+08:00","DBT 1M F",27.9
"S107","2019-09-08T23:22:00+08:00","DBT 1M F",28.7
"S43","2019-09-08T23:22:00+08:00","DBT 1M F",28.8
"S108","2019-09-08T23:22:00+08:00","DBT 1M F",28.4
"S44","2019-09-08T23:22:00+08:00","DBT 1M F",28
"S121","2019-09-08T23:22:00+08:00","DBT 1M F",28.1
"S106","2019-09-08T23:22:00+08:00","DBT 1M F",27.5
"S111","2019-09-08T23:22:00+08:00","DBT 1M F",27.7
"S122","2019-09-08T23:22:00+08:00","DBT 1M F",27.9
"S60","2019-09-08T23:22:00+08:00","DBT 1M F",27.9
"S115","2019-09-08T23:22:00+08:00","DBT 1M F",28.6
"S24","2019-09-08T23:22:00+08:00","DBT 1M F",28.4
"S116","2019-09-08T23:22:00+08:00","DBT 1M F",28.7
"S104","2019-09-08T23:22:00+08:00","DBT 1M F",28.3
"S100","2019-09-08T23:22:00+08:00","DBT 1M F",28.1
"S109","2019-09-09T00:22:00+08:00","DBT 1M F",28
"S117","2019-09-09T00:22:00+08:00","DBT 1M F",28.1
"S50","2019-09-09T00:22:00+08:00","DBT 1M F",27.6
"S107","2019-09-09T00:22:00+08:00","DBT 1M F",28.4
"S43","2019-09-09T00:22:00+08:00","DBT 1M F",28.5
"S108","2019-09-09T00:22:00+08:00","DBT 1M F",28.2
"S44","2019-09-09T00:22:00+08:00","DBT 1M F",27.7
"S121","2019-09-09T00:22:00+08:00","DBT 1M F",27.9
"S106","2019-09-09T00:22:00+08:00","DBT 1M F",27.1
"S111","2019-09-09T00:22:00+08:00","DBT 1M F",27.5
"S122","2019-09-09T00:22:00+08:00","DBT 1M F",27.7
"S60","2019-09-09T00:22:00+08:00","DBT 1M F",27.6
"S115","2019-09-09T00:22:00+08:00","DBT 1M F",28.5
"S24","2019-09-09T00:22:00+08:00","DBT 1M F",28.1
"S116","2019-09-09T00:22:00+08:00","DBT 1M F",28.5
"S104","2019-09-09T00:22:00+08:00","DBT 1M F",28.1
"S100","2019-09-09T00:22:00+08:00","DBT 1M F",27.9
"S109","2019-09-09T12:22:00+08:00","DBT 1M F",31.5
"S117","2019-09-09T12:22:00+08:00","DBT 1M F",30.6
"S50","2019-09-09T12:22:00+08:00","DBT 1M F",30.6
"S107","2019-09-09T12:22:00+08:00","DBT 1M F",30.1
"S43","2019-09-09T12:22:00+08:00","DBT 1M F",32.2
"S108","2019-09-09T12:22:00+08:00","DBT 1M F",32.7
"S44","2019-09-09T12:22:00+08:00","DBT 1M F",30.5
"S121","2019-09-09T12:22:00+08:00","DBT 1M F",31.9
"S106","2019-09-09T12:22:00+08:00","DBT 1M F",30.8
"S111","2019-09-09T12:22:00+08:00","DBT 1M F",30.5
"S122","2019-09-09T12:22:00+08:00","DBT 1M F",31.4
"S60","2019-09-09T12:22:00+08:00","DBT 1M F",31.4
"S115","2019-09-09T12:22:00+08:00","DBT 1M F",31.2
"S24","2019-09-09T12:22:00+08:00","DBT 1M F",31
"S116","2019-09-09T12:22:00+08:00","DBT 1M F",30.8
"S104","2019-09-09T12:22:00+08:00","DBT 1M F",31.6
"S100","2019-09-09T12:22:00+08:00","DBT 1M F",32.3
"S109","2019-09-09T18:22:00+08:00","DBT 1M F",31.2
"S117","2019-09-09T18:22:00+08:00","DBT 1M F",30.8
"S50","2019-09-09T18:22:00+08:00","DBT 1M F",30.8
"S107","2019-09-09T18:22:00+08:00","DBT 1M F",30.1
"S43","2019-09-09T18:22:00+08:00","DBT 1M F",31.3
"S44","2019-09-09T18:22:00+08:00","DBT 1M F",30.8
"S121","2019-09-09T18:22:00+08:00","DBT 1M F",31.3
"S106","2019-09-09T18:22:00+08:00","DBT 1M F",30.3
"S111","2019-09-09T18:22:00+08:00","DBT 1M F",30.4
"S122","2019-09-09T18:22:00+08:00","DBT 1M F",30.9
"S60","2019-09-09T18:22:00+08:00","DBT 1M F",30.9
"S115","2019-09-09T18:22:00+08:00","DBT 1M F",30.7
"S24","2019-09-09T18:22:00+08:00","DBT 1M F",30.8
"S116","2019-09-09T18:22:00+08:00","DBT 1M F",31.3
"S104","2019-09-09T18:22:00+08:00","DBT 1M F",31.7
"S100","2019-09-09T18:22:00+08:00","DBT 1M F",32.1
"S109","2019-09-09T09:22:00+08:00","DBT 1M F",29.1
"S117","2019-09-09T09:22:00+08:00","DBT 1M F",28.9
"S50","2019-09-09T09:22:00+08:00","DBT 1M F",28.3
"S107","2019-09-09T09:22:00+08:00","DBT 1M F",28.2
"S43","2019-09-09T09:22:00+08:00","DBT 1M F",29.4
"S44","2019-09-09T09:22:00+08:00","DBT 1M F",28.8
"S121","2019-09-09T09:22:00+08:00","DBT 1M F",29.2
"S106","2019-09-09T09:22:00+08:00","DBT 1M F",29.3
"S111","2019-09-09T09:22:00+08:00","DBT 1M F",27.8
"S122","2019-09-09T09:22:00+08:00","DBT 1M F",28.7
"S60","2019-09-09T09:22:00+08:00","DBT 1M F",29
"S115","2019-09-09T09:22:00+08:00","DBT 1M F",29.2
"S24","2019-09-09T09:22:00+08:00","DBT 1M F",29.3
"S116","2019-09-09T09:22:00+08:00","DBT 1M F",29.1
"S104","2019-09-09T09:22:00+08:00","DBT 1M F",28.6
"S100","2019-09-09T09:22:00+08:00","DBT 1M F",29.6
"S109","2019-09-09T07:22:00+08:00","DBT 1M F",27.5
"S117","2019-09-09T07:22:00+08:00","DBT 1M F",27.6
"S50","2019-09-09T07:22:00+08:00","DBT 1M F",27
"S107","2019-09-09T07:22:00+08:00","DBT 1M F",28.1
"S43","2019-09-09T07:22:00+08:00","DBT 1M F",28.1
"S44","2019-09-09T07:22:00+08:00","DBT 1M F",27.2
"S121","2019-09-09T07:22:00+08:00","DBT 1M F",27.1
"S106","2019-09-09T07:22:00+08:00","DBT 1M F",26.6
"S111","2019-09-09T07:22:00+08:00","DBT 1M F",27
"S122","2019-09-09T07:22:00+08:00","DBT 1M F",26.8
