"id","name","latitude","longitude"
"S109","Ang Mo Kio Avenue 5",1.3764,103.8492
"S117","Banyan Road",1.256,103.679
"S50","Clementi Road",1.3337,103.7768
"S107","East Coast Parkway",1.3135,103.9625
"S43","Kim Chuan Road",1.3399,103.8878
"S108","Marina Gardens Drive",1.2799,103.8703
"S44","Nanyang Avenue",1.34583,103.68166
"S121","Old Choa Chu Kang Road",1.37288,103.72244
"S106","Pulau Ubin",1.4168,103.9673
"S111","Scotts Road",1.31055,103.8365
"S122","Sembawang Road",1.41731,103.8249
"S60","Sentosa",1.25,103.8279
"S115","Tuas South Avenue 3",1.29377,103.61843
"S24","Upper Changi Road North",1.3678,103.9826
"S116","West Coast Highway",1.281,103.754
"S104","Woodlands Avenue 9",1.44387,103.78538
"S100","Woodlands Road",1.4172,103.74855
"S105","Admiralty Road West",1.45817,103.79525
"S77","Alexandra Road",1.2937,103.8125
"S64","Bukit Panjang Road",1.3824,103.7603
"S90","Bukit Timah Road",1.3191,103.8191
"S61","Chai Chee Street",1.323,103.9217
"S114","Choa Chu Kang Avenue 4",1.38,103.73
"S11","Choa Chu Kang Road",1.3746,103.6938
"S215","GEYLANG EAST CENTRAL",1.32785,103.88899
"S118","Handy Road",1.2994,103.8461
"S120","Holland Road",1.30874,103.818
"S33","Jurong Pier Road",1.3081,103.71
"S71","Kent Ridge Road",1.2923,103.7815
"S66","Kranji Way",1.4387,103.7363
"S112","Lim Chu Kang Road",1.43854,103.70131
"S07","Lornie Road",1.3415,103.8334
"S40","Mandai Lake Road",1.4044,103.78962
"S113","Marine Parade Road",1.30648,103.9104
"S119","Nicoll Highway",1.30105,103.8666
"S35","Old Toh Tuck Road",1.3329,103.7556
"S29","Pasir Ris Drive 12",1.387,103.935
"S94","Pasir Ris Street 51",1.3662,103.9528
"S78","Poole Road",1.30703,103.89067
"S81","Punggol Central",1.4029,103.9092
"S900","Seletar Aerospace View",1.41284,103.86922
"S46","Sime Road",1.3416,103.8106
"S84","Simei Avenue",1.3437,103.9444
"S79","Somerset Road",1.3004,103.8372
"S92","South Buona Vista Road",1.2841,103.7886
"S88","Toa Payoh North",1.3427,103.8482
"S123","Towner Road",1.3214,103.8577
"S89","Tuas Road",1.31985,103.66162
"S82","Tuas West Road",1.3247,103.6351
"S69","Upper Peirce Reservoir Park",1.37,103.805
"S36","Upper Serangoon Road",1.3382,103.8657
"S08","Upper Thomson Road",1.3701,103.8271
"S91","Yishun Avenue 5",1.4301,103.8308
